TIMESTAMPms	latitude	longitude
1029	30.6219	-96.3402
1030	30.6219	-96.3402
1629	30.6219	-96.3402
2060	30.6219	-96.3402
2582	30.6219	-96.3402
3091	30.6219	-96.3402
3612	30.6219	-96.3402
4293	30.6219	-96.3402
4294	30.6219	-96.3402
5258	30.6219	-96.3402
5766	30.6219	-96.3402
5767	30.6219	-96.3402
6289	30.6219	-96.3402
6797	30.6219	-96.3402
7322	30.6219	-96.3402
7827	30.6219	-96.3402
8368	30.6219	-96.3402
8857	30.6219	-96.3402
9378	30.6219	-96.3401
9889	30.6219	-96.3401
10411	30.6219	-96.3402
10921	30.6219	-96.3402
11440	30.6219	-96.3402
11950	30.6219	-96.3402
12502	30.6219	-96.3402
12980	30.6219	-96.3402
12981	30.6219	-96.3402
13533	30.6219	-96.3401
14010	30.6219	-96.3401
14531	30.6219	-96.3401
15042	30.6219	-96.3402
15663	30.6219	-96.3402
16172	30.6219	-96.3402
16666	30.6219	-96.3402
17284	30.622	-96.3402
17723	30.622	-96.3402
18315	30.622	-96.3402
18750	30.622	-96.3402
19368	30.622	-96.3402
19782	30.622	-96.3402
20377	30.622	-96.3402
20378	30.622	-96.3402
20813	30.622	-96.3402
20814	30.622	-96.3403
21407	30.622	-96.3403
21408	30.622	-96.3403
21844	30.622	-96.3403
22438	30.622	-96.3403
22875	30.622	-96.3403
23472	30.622	-96.3403
23906	30.622	-96.3403
24501	30.622	-96.3403
24939	30.622	-96.3403
25457	30.622	-96.3403
25967	30.622	-96.3403
26489	30.622	-96.3403
26997	30.622	-96.3403
27592	30.622	-96.3403
27593	30.622	-96.3403
28202	30.6221	-96.3403
28622	30.6221	-96.3403
29231	30.6221	-96.3403
29232	30.6221	-96.3403
29651	30.6221	-96.3403
30198	30.6221	-96.3403
30707	30.6221	-96.3403
31230	30.6221	-96.3403
31738	30.6221	-96.3403
32259	30.6221	-96.3404
32769	30.6221	-96.3404
33290	30.6221	-96.3404
33798	30.6221	-96.3404
34322	30.6221	-96.3404
34828	30.6221	-96.3404
35372	30.6221	-96.3404
35859	30.6221	-96.3404
35860	30.6221	-96.3404
36381	30.6221	-96.3404
36890	30.6221	-96.3404
37412	30.6221	-96.3404
37922	30.6221	-96.3404
38473	30.6221	-96.3405
38950	30.6221	-96.3405
39503	30.6221	-96.3405
39504	30.6221	-96.3405
39981	30.6221	-96.3405
40503	30.622	-96.3406
41114	30.6221	-96.3405
41530	30.6221	-96.3405
42045	30.6221	-96.3405
